2022-03-17 16:47:34,622 | Network_comissioning | INFO |  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:47:34,622 | Network_comissioning | INFO |  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:47:34,622 | Network_comissioning | INFO |  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:47:34,622 | Network_comissioning | INFO |  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:47:34,622 | Network_comissioning | INFO |  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:47:34,622 | Network_comissioning | INFO |  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:47:35,634 | Network_comissioning | INFO |  % please answer 'yes' or 'no'.

2022-03-17 16:47:35,634 | Network_comissioning | INFO |  % please answer 'yes' or 'no'.

2022-03-17 16:47:35,634 | Network_comissioning | INFO |  % please answer 'yes' or 'no'.

2022-03-17 16:47:35,634 | Network_comissioning | INFO |  % please answer 'yes' or 'no'.

2022-03-17 16:47:35,634 | Network_comissioning | INFO |  % please answer 'yes' or 'no'.

2022-03-17 16:47:35,634 | Network_comissioning | INFO |  % please answer 'yes' or 'no'.

2022-03-17 16:52:06,901 | Network_comissioning | INFO | serial opened
2022-03-17 16:52:06,901 | Network_comissioning | INFO | serial opened
2022-03-17 16:52:06,901 | Network_comissioning | INFO | serial opened
2022-03-17 16:52:06,901 | Network_comissioning | INFO | serial opened
2022-03-17 16:52:06,901 | Network_comissioning | INFO | serial opened
2022-03-17 16:52:06,901 | Network_comissioning | INFO | serial opened
2022-03-17 16:52:06,901 | Network_comissioning | INFO | serial opened
2022-03-17 16:52:06,901 | Network_comissioning | INFO | serial opened
2022-03-17 16:52:06,917 | Network_comissioning | INFO | console input:  

2022-03-17 16:52:06,917 | Network_comissioning | INFO | console input:  

2022-03-17 16:52:06,917 | Network_comissioning | INFO | console input:  

2022-03-17 16:52:06,917 | Network_comissioning | INFO | console input:  

2022-03-17 16:52:06,917 | Network_comissioning | INFO | console input:  

2022-03-17 16:52:06,917 | Network_comissioning | INFO | console input:  

2022-03-17 16:52:06,917 | Network_comissioning | INFO | console input:  

2022-03-17 16:52:06,917 | Network_comissioning | INFO | console input:  

2022-03-17 16:52:07,923 | Network_comissioning | INFO | console input:  % please answer 'yes' or 'no'.

2022-03-17 16:52:07,923 | Network_comissioning | INFO | console input:  % please answer 'yes' or 'no'.

2022-03-17 16:52:07,923 | Network_comissioning | INFO | console input:  % please answer 'yes' or 'no'.

2022-03-17 16:52:07,923 | Network_comissioning | INFO | console input:  % please answer 'yes' or 'no'.

2022-03-17 16:52:07,923 | Network_comissioning | INFO | console input:  % please answer 'yes' or 'no'.

2022-03-17 16:52:07,923 | Network_comissioning | INFO | console input:  % please answer 'yes' or 'no'.

2022-03-17 16:52:07,923 | Network_comissioning | INFO | console input:  % please answer 'yes' or 'no'.

2022-03-17 16:52:07,923 | Network_comissioning | INFO | console input:  % please answer 'yes' or 'no'.

2022-03-17 16:52:08,933 | Network_comissioning | INFO | console input:  would you like to enter the initial configuration dialog? [yes/no]: 

2022-03-17 16:52:08,933 | Network_comissioning | INFO | console input:  would you like to enter the initial configuration dialog? [yes/no]: 

